,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B
83,8,1,60,314,253.17599999999996,14601.600000000002,16918.536,60.0,314.0,59.0,-8822300284111043377,14263.229280000001,15896.423999999999
84,8,1,116,314,17030.384,6477.400000000001,5829.912,116.0,314.0,256.0,-8822300284452402734,6360.80176,5376.494000000001
85,8,1,588,294,23800.28,4713.08,10239.643999999998,588.0,294.0,229.0,-8822300284048130731,4508.28712,9909.728399999998
86,8,1,356,292,18650.128,6994.56,6248.111999999999,356.0,292.0,187.0,-8822300283961917105,6869.597760000001,5758.492799999999
88,8,1,237,366,1410.4720000000002,1362.64,21284.476000000002,237.0,366.0,225.0,-8822300284043470535,936.95048,21189.091200000003
89,8,1,414,367,266.728,15872.280000000002,18305.532,414.0,367.0,232.0,-8822300284051625878,15506.169360000002,17194.4724
90,8,1,591,367,17988.375999999997,6842.319999999999,6187.66,591.0,367.0,193.0,-8822300284080752103,6718.566799999999,5708.6975999999995
91,8,1,618,394,268.96799999999996,16171.839999999997,18973.835999999996,618.0,394.0,156.0,-8822300284000363722,15792.363279999996,17841.807199999996
92,8,1,472,420,313.768,17950.52,21143.512000000002,472.0,420.0,36.0,-8822300284121528818,17527.64976,19886.9756
93,8,1,910,418,194.93599999999998,14161.96,16838.364,910.0,418.0,223.0,-8822300284078422005,13825.19272,15847.026800000001
96,8,1,175,418,17110.239999999998,6553.919999999999,5930.008000000002,175.0,418.0,258.0,-8822300284454732832,6435.319839999999,5471.233600000001
97,8,1,116,417,5229.392,5758.76,10540.884000000002,116.0,417.0,189.0,-8822300283964247203,5547.94232,10137.770800000002
98,8,1,353,415,18376.287999999997,6934.52,6278.78,353.0,415.0,76.0,-8822300284242693914,6808.9444,5793.3636
99,8,1,880,414,195.496,14823.600000000002,17413.372,880.0,414.0,70.0,-8822300284235703620,14475.332560000003,16375.72
100,8,1,591,397,278.32,16861.119999999995,19694.976000000002,591.0,397.0,3.0,-8822300284157645337,16467.220479999996,18514.697600000003
102,8,1,530,395,18710.663999999997,7019.199999999998,6340.660000000002,530.0,395.0,17.0,-8822300284136674455,6892.386799999998,5849.316000000002
103,8,1,355,395,1390.0320000000002,1352.1600000000003,20679.956000000002,355.0,395.0,76.0,-8822300284242693914,938.5608800000002,20585.3048
106,8,1,412,394,17910.2,6740.5999999999985,6130.88,412.0,394.0,16.0,-8822300284135509406,6617.982399999999,5659.0380000000005
107,8,1,293,394,1500.6879999999999,1718.16,19339.744,293.0,394.0,140.0,-8822300284019004506,1331.3651200000002,19219.4728
110,8,1,118,393,15606.807999999999,5957.120000000001,5384.512,118.0,393.0,189.0,-8822300283964247203,5849.429760000001,4967.513599999999
111,8,1,57,394,19758.983999999997,3952.7200000000003,8645.859999999997,57.0,394.0,194.0,-8822300284081917152,3779.8028000000004,8369.169599999997
112,8,1,266,391,17317.104,6611.600000000001,6000.048,266.0,391.0,245.0,-8822300284029489947,6491.599040000001,5537.236
114,8,1,913,388,190.17599999999996,14676.160000000003,16725.96,913.0,388.0,174.0,-8822300283984053036,14341.640800000003,15698.628799999999
115,8,1,618,372,10675.672,3152.6799999999994,8408.676,618.0,372.0,156.0,-8822300284000363722,2984.5064799999996,8187.988399999999
116,8,1,441,371,1405.7680000000003,1358.28,21245.24,441.0,371.0,24.0,-8822300284144829798,933.3752,21150.1604
117,8,1,264,371,297.416,15892.040000000003,18500.284,264.0,371.0,245.0,-8822300284029489947,15522.034320000002,17387.8412
