,IndexX,IndexY,ImageX,ImageY,R,oldG,oldB,RX,RY,Well_ID,Hash,G,B,PlaneX,PlaneY,Cluster,Label,Barcode
98,8,1,353,415,18376.288,6934.52,6278.78,353.0,415.0,76.0,-8822300284242693914,6808.9444,5793.3636,-0.373397929331594,-0.6259763612269581,7,PAO1_OD04_1,"[10, 10, 30]"
99,8,1,880,414,195.49599999999998,14823.600000000002,17413.372,880.0,414.0,70.0,-8822300284235703620,14475.332560000004,16375.72,0.4599492446770064,0.054914040982853574,0,LB3,"[30, 20, 0]"
100,8,1,591,397,278.32,16861.119999999995,19694.976,591.0,397.0,3.0,-8822300284157645337,16467.220479999996,18514.697600000003,0.45912623854864215,0.05017428175005695,0,LB3,"[30, 20, 0]"
102,8,1,530,395,18710.664,7019.199999999998,6340.660000000003,530.0,395.0,17.0,-8822300284136674455,6892.3867999999975,5849.3160000000025,-0.3757516016250963,-0.6280524109873982,7,PAO1_OD04_1,"[10, 10, 30]"
103,8,1,355,395,1390.0320000000004,1352.1600000000005,20679.956,355.0,395.0,76.0,-8822300284242693914,938.5608800000003,20585.3048,-0.01970293864033698,0.7967527905972565,4,LB4,"[45, 0, 5]"
106,8,1,412,394,17910.2,6740.5999999999985,6130.88,412.0,394.0,16.0,-8822300284135509406,6617.982399999999,5659.038000000001,-0.3740727847867703,-0.625070614318634,7,PAO1_OD04_1,"[10, 10, 30]"
107,8,1,293,394,1500.688,1718.16,19339.744,293.0,394.0,140.0,-8822300284019004506,1331.3651200000004,19219.4728,-0.007678510803029261,0.7431422088181732,4,LB4,"[45, 0, 5]"
110,8,1,118,393,15606.808,5957.120000000001,5384.512,118.0,393.0,189.0,-8822300283964247203,5849.429760000001,4967.513599999998,-0.36926544255826665,-0.624011478739558,7,PAO1_OD04_1,"[10, 10, 30]"
111,8,1,57,394,19758.984,3952.72,8645.859999999997,57.0,394.0,194.0,-8822300284081917152,3779.8028,8369.169599999997,-0.5007898656900509,-0.4754180120416613,2,PAO1_OD04_2,"[15, 5, 30]"
112,8,1,266,391,17317.104,6611.600000000001,6000.048000000001,266.0,391.0,245.0,-8822300284029489947,6491.599040000001,5537.236,-0.3688927774723544,-0.6226233556573216,7,PAO1_OD04_1,"[10, 10, 30]"
114,8,1,913,388,190.176,14676.160000000005,16725.96,913.0,388.0,174.0,-8822300283984053036,14341.640800000005,15698.6288,0.46811962308620425,0.03859724780239415,0,LB3,"[30, 20, 0]"
115,8,1,618,372,10675.671999999999,3152.6799999999994,8408.676,618.0,372.0,156.0,-8822300284000363722,2984.50648,8187.988399999998,-0.35202795558288047,-0.25046449480433486,5,LB1,"[20, 5, 25]"
116,8,1,441,371,1405.7680000000007,1358.28,21245.24,441.0,371.0,24.0,-8822300284144829798,933.3752,21150.1604,-0.020110975107835924,0.8008333290902672,4,LB4,"[45, 0, 5]"
117,8,1,264,371,297.416,15892.040000000005,18500.284,264.0,371.0,245.0,-8822300284029489947,15522.034320000002,17387.8412,0.45847214943231845,0.04723031624109991,0,LB3,"[30, 20, 0]"
119,8,1,590,347,1408.624,1346.2400000000002,21435.367999999995,590.0,347.0,193.0,-8822300284080752103,917.5326400000004,21341.1312,-0.020749794540040535,0.8034285418992055,4,LB4,"[45, 0, 5]"
120,8,1,265,596,21127.343999999997,4177.44,9263.776000000002,265.0,596.0,249.0,-8822300284034150143,3992.16448,8971.355200000002,-0.5026326021200996,-0.4736797938467482,2,PAO1_OD04_2,"[15, 5, 30]"
122,8,1,262,856,18194.960000000006,3426.680000000001,7679.852000000001,262.0,856.0,197.0,-8822300284085412299,3273.082960000001,7439.9844,-0.5161845481247671,-0.48526516130985164,2,PAO1_OD04_2,"[15, 5, 30]"
123,8,1,787,837,15869.336,5705.24,5139.643999999998,787.0,837.0,170.0,-8822300283979392840,5602.447120000001,4740.2772,-0.39168568798715475,-0.6383132693782845,7,PAO1_OD04_1,"[10, 10, 30]"
